Model,Description,Long Description, price 
MK-RB750r2,"MikroTik 750R2, 5portFE","MikroTik 750R2, 5portFE",727
MK-RB750Gr3,"MikroTik RB750Gr3 5GB/Eth,1POE In,256Mb Ram,880MHz","MikroTik RB750Gr3 5GB/Eth,1POE In,256Mb Ram,880MHz","1,050.00"
MK-RB750UPr2,"MikroTik 750UPR2, 5Eth ,4POE Out, 1POE In, 64Mb","MikroTik 750UPR2, 5Eth ,4POE Out, 1POE In, 64Mb",726
MK-RB760iGS,"MikroTik hEX S with Dual Core 880MHz MHz CPU,256MB","MikroTik hEX S with Dual Core 880MHz MHz CPU,256MB","1,149.00"
MK-RB2011iL RM,"MikroTik 5Gb/Eth, 5Eth,600MHz,64Mb RAM, Rack Mount","MikroTik 5Gb/Eth, 5Eth,600MHz,64Mb RAM, Rack Mount","1,549.00"
MK-RB960PGS,"MikroTik hEX POE,GBE,5Port,POE Out, SFP","MikroTik hEX POE,GBE,5Port,POE Out, SFP","1,140.00"
MK-RB2011iL IN,"MikroTik 5Gb/Eth, 5Eth, 600MHz,64Mb RAM","MikroTik 5Gb/Eth, 5Eth, 600MHz,64Mb RAM","1,469.00"
MK-RB2011UiAS RM,"MikroTik 5Gb/Eth, 5Eth, 600MHz, 128Mb, 1SFP, Rack Mount","MikroTik 5Gb/Eth, 5Eth, 600MHz, 128Mb, 1SFP, Rack Mount","1,929.00"
MK-RB2011iLS IN,"MikroTik 5Gb/Eth, 5Eth,1SFP, 600MHz,64Mb RAM","MikroTik 5Gb/Eth, 5Eth,1SFP, 600MHz,64Mb RAM","1,690.01"
MK-RB2011UiAS IN,"MikroTik 5Gb/Eth, 5Eth,1SFP, 600MHz,128Mb RAM","MikroTik 5Gb/Eth, 5Eth,1SFP, 600MHz,128Mb RAM","1,821.70"
MK-RB2011UiAS 2HnD,"MikroTik 5Gb/Eth, 5Eth,1SFP, 600MHz,128Mb RAM","MikroTik 5Gb/Eth, 5Eth,1SFP, 600MHz,128Mb RAM","1,975.34"
MK-RB3011UiAS RM,"MikroTik 10GB/Eth, 1SFP, 1POE, 1Gb Ram, 1.4GHz CPU, Rack Mount","MikroTik 10GB/Eth, 1SFP, 1POE, 1Gb Ram, 1.4GHz CPU, Rack Mount","3,106.00"
MK-RB4011iGS+RM,"MikroTik 10x1Gb, 1xSFP+, 10Gb, 1Gb RAM, 1U","MikroTik 10x1Gb, 1xSFP+, 10Gb, 1Gb RAM, 1U","3,050.80"
MK-RB4011iGS+5HacQ2HnDIN,"MikroTik 10x1Gb, 1xSFP+, 10Gb, 1Gb RAM, 5Ghz & 2Ghz Wifi","MikroTik 10x1Gb, 1xSFP+, 10Gb, 1Gb RAM, 5Ghz & 2Ghz Wifi","3,241.00"
MK-RB1100AHx4 ,"MikroTik RB1100AH4, 4-cores, 1.4GHz per core), 1GB RAM, 13xGbit LAN","MikroTik RB1100AH4, 4-cores, 1.4GHz per core), 1GB RAM, 13xGbit LAN","4,279.91"
MK-RB1100AHX4 DUDE,"MikroTik 1.4GHz per core, 1GB RAM, 13xGbit LAN, 60GB, 1U rackmount case, Dual PSU","MikroTik 1.4GHz per core, 1GB RAM, 13xGbit LAN, 60GB, 1U rackmount case, Dual PSU","5,465.11"
MK-CCR1009 7G 1C PC,"MikroTik 7GB/Eth, 1SFP Combo, 1Ghz CPU, 1GB RAM, Passive Cooling","MikroTik 7GB/Eth, 1SFP Combo, 1Ghz CPU, 1GB RAM, Passive Cooling","6,978.00"
MK-CCR1009 7G 1C 1S+,"MikroTik 7GB/Eth, 1SFP Combo, 1.2Ghz CPU, 2GB RAM, ","MikroTik 7GB/Eth, 1SFP Combo, 1.2Ghz CPU, 2GB RAM, ","7,572.14"
MK-CCR1009-7G-1C1SP,"MikroTik 7Gb/Eth,1Combo Port,1SFP+,Passive Cooling","MikroTik 7Gb/Eth,1Combo Port,1SFP+,Passive Cooling","5,537.60"
MK-CCR1009 7G 1C 1S+PC,"MikroTik 7GB/Eth, 1SFP Combo, 1Ghz CPU, 2GB RAM, Passive Cooling","MikroTik 7GB/Eth, 1SFP Combo, 1Ghz CPU, 2GB RAM, Passive Cooling","6,035.00"
MK-CCR1016 12G,"MikroTik CCR1016, 12GB/Eth, 2GB Ram","MikroTik CCR1016, 12GB/Eth, 2GB Ram","8,128.00"
MK-CCR1016 12S 1S+,"MikroTik CCR1016, 2GB Ram, 12SFP,1SFP+","MikroTik CCR1016, 2GB Ram, 12SFP,1SFP+","11,435.03"
MK-CCR1036 12G 4S,"MikroTik CCR1036, 12GB/Eth, 4GB Ram, 4SFP","MikroTik CCR1036, 12GB/Eth, 4GB Ram, 4SFP","15,254.02"
MK-CCR1036 8G 2S+,"MikroTik CCR1036, 8GB/Eth, 4GB Ram, 2SFP+","MikroTik CCR1036, 8GB/Eth, 4GB Ram, 2SFP+","16,790.40"
MK-CCR1072 1G 8S+,"MikroTik CCR1072, 1GB/Eth, 16GB Ram, 8SFP+","MikroTik CCR1072, 1GB/Eth, 16GB Ram, 8SFP+","46,859.48"
MK-CCR1036 8G 2S+EM,"MikroTik CCR1036-8G-2S+EM, 8GB/Eth, 4GB RAM, 2SFP+EM","MikroTik CCR1036-8G-2S+EM, 8GB/Eth, 4GB RAM, 2SFP+EM","19,863.15"
MK-CSS106 5G 1S,"MikroTik Gigabit 5 Port Switch, 1SFP","MikroTik Gigabit 5 Port Switch, 1SFP",690
MK-RB260GSP,"MikroTik Gigabit 5 Port Switch, 1SFP, 4POE Out","MikroTik Gigabit 5 Port Switch, 1SFP, 4POE Out",714
MK-CRS105 5S FB,"MikroTik FiberBox with 400MHz CPU,128MB RAM,5xSFP","MikroTik FiberBox with 400MHz CPU,128MB RAM,5xSFP","1,207.15"
MK-CRS109 8G1S 2HnD,"MikroTik CRS109, 8GB/Eth, 128MB Ram, 1SFP, 802.11n","MikroTik CRS109, 8GB/Eth, 128MB Ram, 1SFP, 802.11n","2,304.56"
MK-CRS112 8G 4S IN,"MikroTik CRS112, 8GB/Eth, 128MB Ram, 4SFP","MikroTik CRS112, 8GB/Eth, 128MB Ram, 4SFP","2,128.98"
MK-CRS112 8P 4S IN,"MikroTik CRS112,8GB/Eth,POE, POE+,DC, 4SFP","MikroTik CRS112,8GB/Eth,POE, POE+,DC, 4SFP","2,754.00"
MK-CRS125 24G 1S IN,"MikroTik L3 Switch,802.11b/g/n,24G/Eth,1SFP,IN","MikroTik L3 Switch,802.11b/g/n,24G/Eth,1SFP,IN","2,984.96"
MK-CRS326 24G 2S+RM,"MikroTik CRS326 24GB/Eth, 2SFP+, Rack Mount","MikroTik CRS326 24GB/Eth, 2SFP+, Rack Mount","3,050.80"
MK-CRS212 1G 10S 1S,"MikroTik CRS212 Switch,64MB,1GB/Eth-10SFP-1SFP+","MikroTik CRS212 Switch,64MB,1GB/Eth-10SFP-1SFP+","3,358.08"
MK-CRS317 1G 16S+RM,"MikroTik CRS317 800MHz CPU,1GB,1xGbEth,16xSFP+,PC","MikroTik CRS317 800MHz CPU,1GB,1xGbEth,16xSFP+,PC","6,164.00"
MK-CRS328 24P 4S+RM,"MikroTik Switch 28 Port POE+, SFP+, Router OS","MikroTik Switch 28 Port POE+, SFP+, Router OS","6,123.56"
MK-CRS328 4C 20S 4S+RM,MikroTik CRS328-4C-20S-4S+RM,MikroTik CRS328-4C-20S-4S+RM,"5,475.00"
MK-RBwAP2nD,MikroTik wAP With White Enclosure,MikroTik wAP With White Enclosure,680.4
MK-DISC Lite5,"MikroTik DISC Lite5 with 21dBi 5GHz antenna, Dual Chain 802.11an","MikroTik DISC Lite5 with 21dBi 5GHz antenna, Dual Chain 802.11an",724.29
MK-RBSXTsqG 5acD,"MikroTik RBSXTsqG-5acD,16dBi 5GHz,802.11ac, ","MikroTik RBSXTsqG-5acD,16dBi 5GHz,802.11ac, ",607.24
MK-RBLHG 5nD,MikroTik Light Head Grid 24.5dBi Dual Chain,MikroTik Light Head Grid 24.5dBi Dual Chain,877.93
MK-RBGROOVE 52HPn,"MikroTik Groove 52, 2.4GHz / 5GHz 802.11abgn, 600MHz CPU, 1x LAN","MikroTik Groove 52, 2.4GHz / 5GHz 802.11abgn, 600MHz CPU, 1x LAN",899.88
MK-RBSXT 5nDr2,"MikroTik SXT Lite5, 5Ghz 16dBi, 1Eth, 802.11n","MikroTik SXT Lite5, 5Ghz 16dBi, 1Eth, 802.11n",899.88
MK-RBSXT5HacD2n,"MikroTik SXT Lite5 AC, 16dBi, 2.4/5GHz, 802.11ac","MikroTik SXT Lite5 AC, 16dBi, 2.4/5GHz, 802.11ac",965.72
MK-RBSXTsq5HPnD,MikroTik SXT sq5,MikroTik SXT sq5,768.19
MK-LDF 2nD,MikroTik LDF 2 with 10dBi integrated 2.4GHz antenna,MikroTik LDF 2 with 10dBi integrated 2.4GHz antenna,592.6
MK-RBLHG 5HPND,"MikroTik, RBLHG-5HPnD, 24.5dBi 5GHz,802.11an ","MikroTik, RBLHG-5HPnD, 24.5dBi 5GHz,802.11an ","1,053.52"
MK-RBSXTG2HnD,"MikroTik AP/CPE,2.4GHz,60° 2x2 MIMO,10dbi,1600m","MikroTik AP/CPE,2.4GHz,60° 2x2 MIMO,10dbi,1600m","1,207.15"
MK-RBGrooveG 52HPacN,"MikroTik GrooveG, 1GB/Eth,2.4/5GHz, 802.11 ac","MikroTik GrooveG, 1GB/Eth,2.4/5GHz, 802.11 ac",897.86
MK-RBLHG 5HPND XL,"MikroTik RBLHG-5HPnD-XL,27dBi 5GHz, 802.11an, ","MikroTik RBLHG-5HPnD-XL,27dBi 5GHz, 802.11an, ","1,296.00"
MK-RBLHGG 5acD,"MikroTik LHG 5 ac 24.5dBi, 5GHz, 1GBE 802.11AC","MikroTik LHG 5 ac 24.5dBi, 5GHz, 1GBE 802.11AC","1,360.79"
MK-RBLHGG 5acD XL,"MikroTik LHG 5 ac 27dBi, 5GHz, 1GBE 802.11AC","MikroTik LHG 5 ac 27dBi, 5GHz, 1GBE 802.11AC","1,536.38"
BU-RBLHGG60ad,"MikroTik LHG60G, 60 GHz link, 1.8 Gb/s,1Gb/Eth 1/2","MikroTik LHG60G, 60 GHz link, 1.8 Gb/s,1Gb/Eth 1/2","4,609.13"
MK-RB912UAG 5HPnD OUT,"MikroTik Base Box 5, PRSMA, 802.11n, 1GB/Eth, CPE","MikroTik Base Box 5, PRSMA, 802.11n, 1GB/Eth, CPE","1,364.00"
MK-RB912UAG 2HPnD OUT,"MikroTik BaseBox2, 2.4Ghz,802.11b/g/n,1Gb/Eth,SMA","MikroTik BaseBox2, 2.4Ghz,802.11b/g/n,1Gb/Eth,SMA","1,230.00"
MK-RBGrooveGA 52HPacN,"MikroTik-GrooveA, 1GB/Eth,2.4/5GHz, 802.11 ac","MikroTik-GrooveA, 1GB/Eth,2.4/5GHz, 802.11 ac","1,536.38"
MK-RBMetal5SHPn,MikroTik L4 Metal Outdoor WiFi Radio 5Ghz,MikroTik L4 Metal Outdoor WiFi Radio 5Ghz,"1,142.15"
MK-RB911G 5HPacD NB,"MikroTik NetBox 5,CPE,RP-SMA,802.11a/n/ac,1GEth","MikroTik NetBox 5,CPE,RP-SMA,802.11a/n/ac,1GEth","1,733.91"
MK-RBMETALG 52SHPACN,"MikroTik Metal 52ac, 1GB/Eth, 2.4/5GHz, 802.11n/ac","MikroTik Metal 52ac, 1GB/Eth, 2.4/5GHz, 802.11n/ac","1,821.70"
MK-RBSXT 2nDr2,"MikroTik SXT ""Lite 2"" 2.4GHz CPE","MikroTik SXT ""Lite 2"" 2.4GHz CPE",768.19
MK-RBSXTLTE3 7,"MikroTik SXT LTE Category 3, 4G only, 1Eth","MikroTik SXT LTE Category 3, 4G only, 1Eth","1,975.34"
MK-RB912R 2nD LTm,"MikroTik RB912R-2nD-LTm, LtAP mini, 3G/4G, 10/100 Eth LAN","MikroTik RB912R-2nD-LTm, LtAP mini, 3G/4G, 10/100 Eth LAN","1,106.00"
MK-RB912R 2ND LTM&R11E L,"MikroTik RB912R-2nD-LTm&R11e-LTE, 650MHz CPU, 64MB RAM,1xLAN","MikroTik RB912R-2nD-LTm&R11e-LTE, 650MHz CPU, 64MB RAM,1xLAN","1,580.00"
MK-RBSXTR&R11e LTE,"MikroTik LTE Weather Proof LTE CPE / Modem, 2G/3G/4G, dual SIM, 2Eth","MikroTik LTE Weather Proof LTE CPE / Modem, 2G/3G/4G, dual SIM, 2Eth","1,992.00"
MK-RB921UAGS 5SHPacD NM,"MikroTik NetMetal 5, 802.11a/n/ac, PRSMA, 1SFP","MikroTik NetMetal 5, 802.11a/n/ac, PRSMA, 1SFP","2,436.25"
MK-RB921UAGS 5SHPACT NM,"MikroTik NetMetal 5SHPn triple 720MHz CPU, 128MB RAM, 1xGigabit LAN","MikroTik NetMetal 5SHPn triple 720MHz CPU, 128MB RAM, 1xGigabit LAN","2,589.89"
MK-RB922UAGS 5HPacD NM,MikroTik 5GHz Net Metal Dual Chain,MikroTik 5GHz Net Metal Dual Chain,"2,282.62"
MK-RB922UAGS 5HPacT NM,"MikroTik NetMetal 5,PRSMA,1SFP,3G/4G Sim,802.11 ac","MikroTik NetMetal 5,PRSMA,1SFP,3G/4G Sim,802.11 ac","2,436.25"
MK-RBQRTG 2SHPnD,"MikroTik QRT-2 (RouterOS L4), PSU, GB, POE","MikroTik QRT-2 (RouterOS L4), PSU, GB, POE","2,304.56"
MK-DynaDishG 5HacD,"MikroTik DynaDish 5GHz Integrated 25dBi, 802.11ac,","MikroTik DynaDish 5GHz Integrated 25dBi, 802.11ac,","2,392.36"
MK-RBLHG 60ad,"MikroTik RBLHG-60ad, LHG Lite60, 650MHz, 64MB RAM","MikroTik RBLHG-60ad, LHG Lite60, 650MHz, 64MB RAM","1,632.40"
MK-RBLHG 5nD 3,"MikroTik Light Head Grid 24.5dBi Dual Chain, 3pack","MikroTik Light Head Grid 24.5dBi Dual Chain, 3pack","2,633.79"
MK-RB911G 5HPacD QRT,"MikroTik 24dBi 5GHz 11°, Dual Chain 802.11ac wireless, 720MHz CPU, 128MB RAM","MikroTik 24dBi 5GHz 11°, Dual Chain 802.11ac wireless, 720MHz CPU, 128MB RAM","3,050.80"
MK-RB911G 5HPnD QRT,"MikroTik QRT-5 With Case, International Version","MikroTik QRT-5 With Case, International Version","2,589.89"
MK-RBwAPG 60ad A,"MikroTik 60 GHz AP, 60°, 200m, 8 clients","MikroTik 60 GHz AP, 60°, 200m, 8 clients","1,975.34"
MK-RBwAPG 60ad,"MikroTik 60 GHz CPE, Indoor & Outdoor","MikroTik 60 GHz CPE, Indoor & Outdoor","1,558.32"
MK-RBwAPG 60ad kit,"MikroTik Wireless Wire Link, 60Ghz, 1GB/FD, 1GBE","MikroTik Wireless Wire Link, 60Ghz, 1GB/FD, 1GBE","3,116.65"
MK-RBLHGR&11eLTE,"MikroTik LHG LTE CPE single sim, 1 Eth","MikroTik LHG LTE CPE single sim, 1 Eth","3,649.00"
MK-RBSXTSQ2ND,"MikroTik RBSXTsq2nD, SXTsq Lite2, 650MHz, 64MB RAM, 1LAN","MikroTik RBSXTsq2nD, SXTsq Lite2, 650MHz, 64MB RAM, 1LAN",592.6
MK-RB921GS 5HPacD 19S,"MikroTik RB921GS-5HPacD-19S, mANTBox 19s, 128MB RAM,1SFP","MikroTik RB921GS-5HPacD-19S, mANTBox 19s, 128MB RAM,1SFP","3,050.80"
MK-RB931 2nD,MikroTik RB931-2nD hAP Mini With Router,MikroTik RB931-2nD hAP Mini With Router,349
MK-RB941 2ND,"MikroTik hAP Lite Classic,32MB Ram,4Eth,802.11n","MikroTik hAP Lite Classic,32MB Ram,4Eth,802.11n",390
MK-RB941 2nD TC,"MikroTik hAP Lite, 4Eth, 802.11n, 32MB Ram, 650MHz","MikroTik hAP Lite, 4Eth, 802.11n, 32MB Ram, 650MHz",390
MK-RBmAPl 2nD,"MikroTik Micro AP Lite, 2.4Ghz, 1Eth, 802.11n","MikroTik Micro AP Lite, 2.4Ghz, 1Eth, 802.11n",395.07
MK-RBmAP2n,"MikroTik Micro AP, 2.4Ghz, 2Eth, 1POE Out","MikroTik Micro AP, 2.4Ghz, 2Eth, 1POE Out",691.37
MK-RB951Ui 2nD,"MikroTik hAP, 5Eth, 802.11n, 64MB, 650MHz, 2.4GHz","MikroTik hAP, 5Eth, 802.11n, 64MB, 650MHz, 2.4GHz",753
MK-RbcAP2nD,"MikroTik Ceiling AP, 2.4GHz, 802.11n, 2dBi","MikroTik Ceiling AP, 2.4GHz, 802.11n, 2dBi",603
MK-RBcAPGi 5acD2nD,"MikroTik RbcAPGi-5acD2nD with 716MHz CPU,128MB RAm","MikroTik RbcAPGi-5acD2nD with 716MHz CPU,128MB RAm",989
MK-RB952UI 5AC2ND,"MikroTik hAP ac Lite,2.4/5GHz, 5Eth,1POE Out,Usb","MikroTik hAP ac Lite,2.4/5GHz, 5Eth,1POE Out,Usb",768.19
MK-RB952UI 5AC2ND TC,"MikroTik RB952Ui-5ac2nD-TC, hAP ac lite TC 64MB RAM,5xLAN","MikroTik RB952Ui-5ac2nD-TC, hAP ac lite TC 64MB RAM,5xLAN",768.19
MK-RB951Ui 2HnD,"MikroTik RB, 5Eth, 1000mW, 802.11n, 2.4GHz","MikroTik RB, 5Eth, 1000mW, 802.11n, 2.4GHz","1,020.00"
MK-RB951G 2Hnd,"MikroTik RB951G, 5GB/Eth, 1000mW, 802.11n, 2.4GHz","MikroTik RB951G, 5GB/Eth, 1000mW, 802.11n, 2.4GHz","1,228.00"
MK-RBwAPG 5HacT2HnD,"MikroTik wAPac 2.4/5GHz, 802.11ac, 1GB/Eth","MikroTik wAPac 2.4/5GHz, 802.11ac, 1GB/Eth","1,360.79"
MK-RBwAPR 2nD&R11e LTE,"MikroTik WAPR LTE, 2.4Ghz 802.11n, integrated antenna,  LTE modem","MikroTik WAPR LTE, 2.4Ghz 802.11n, integrated antenna,  LTE modem","2,076.00"
MK-RB962UiGS 5HacT2,"MikroTik hAP AC, 2.4/5GHz, 802.11ac, 5GB/Eth, 1POE","MikroTik hAP AC, 2.4/5GHz, 802.11ac, 5GB/Eth, 1POE","1,975.34"
MK-RBD52G 5HacD2HnD,"MikroTik hAP ac2 TC, 2.4/5GHz, 4GBE, 128mb,716 MHz","MikroTik hAP ac2 TC, 2.4/5GHz, 4GBE, 128mb,716 MHz","1,053.52"
MK-QM,MikroTik QuickMOUNT for small antennas,MikroTik QuickMOUNT for small antennas,43.9
MK-QMP LHG ,MikroTik QuickMOUNT PRO for LHG antennas,MikroTik QuickMOUNT PRO for LHG antennas,98.77
MK-QMP,MikroTik QuickMOUNT PRO for small antennas,MikroTik QuickMOUNT PRO for small antennas,106
MK-ACRPSMA,MikroTik Flex-Guide 0.5M SMA-SMA Cable,MikroTik Flex-Guide 0.5M SMA-SMA Cable,131.69
MK-S+DA0001 ,"MikroTik SFP/SFP+ direct attach cable, 1m ","MikroTik SFP/SFP+ direct attach cable, 1m ",438.96
MK-S+DA0003,"MikroTik SFP/SFP+, Direct Attach Cable, 3m","MikroTik SFP/SFP+, Direct Attach Cable, 3m",592.6
MK-S+2332LC10D,"MikroTik SFP module pair bidirectional, 10G,10Km","MikroTik SFP module pair bidirectional, 10G,10Km","5,355.37"
MK-S 3553LC20D,"MikroTik SFP Module Pair, SM 20km T1550nm/R1310nm","MikroTik SFP Module Pair, SM 20km T1550nm/R1310nm","1,075.46"
MK-S 85DLC05D,"MikroTik MultiMode,1SFP,LC,850nm,550m,DDM","MikroTik MultiMode,1SFP,LC,850nm,550m,DDM",282
MK-S+85DLC03D,"MikroTik SFP+ Module 10G MultiMode 300m, 850nm","MikroTik SFP+ Module 10G MultiMode 300m, 850nm",699
MK-S 31DLC20D,"MikroTik SingleMode,1SFP,LC,1.25G,1310nm,20km,DDM","MikroTik SingleMode,1SFP,LC,1.25G,1310nm,20km,DDM",351.17
MK-S RJ01,"MikroTik RJ45,SFP,1Gb","MikroTik RJ45,SFP,1Gb",359
MK-FTCC11,"MikroTik Fiber to Copper Converter, 1SFP","MikroTik Fiber to Copper Converter, 1SFP",592.6
MK-S+31DLC10D,MikroTik SFP+ module 10G SM 10km 1310nm,MikroTik SFP+ module 10G SM 10km 1310nm,"2,194.82"
MK-S+RJ01,MikroTik SF+10/100/1000M/2.5G/5G/10G copper module,MikroTik SF+10/100/1000M/2.5G/5G/10G copper module,987.67
MK-RBGESP,"MikroTik, GESP, Gigabit Ethernet Surge Protector","MikroTik, GESP, Gigabit Ethernet Surge Protector",197.53
MK-K 65,Mikrotik Rackmount Ears Set for RB4011 series,Mikrotik Rackmount Ears Set for RB4011 series,65.84
MK-MTAS 5G 15D120,"MikroTik mAnT15dBi,120°,10°, Sector,5.1-5.8GHz,SMA","MikroTik mAnT15dBi,120°,10°, Sector,5.1-5.8GHz,SMA",768.19
MK-MTAS 5G 19D120,"MikroTik mAnT19dBi,120°,5°, Sector,5.1-5.82GHz,SMA","MikroTik mAnT19dBi,120°,5°, Sector,5.1-5.82GHz,SMA","1,647.00"
MK-MTAD 5G 30D3PA,"MikroTik 5GHz 30dBi Dish, 3° PA, 4.7-5.875GHz","MikroTik 5GHz 30dBi Dish, 3° PA, 4.7-5.875GHz","1,953.39"
MK-48POW,MikroTik 48V 1.46A 70W power supply + power plug,MikroTik 48V 1.46A 70W power supply + power plug,210
MK-RBGESP,"MikroTik, GESP, Gigabit Ethernet Surge Protector","MikroTik, GESP, Gigabit Ethernet Surge Protector",197.53
MM-A5X,"A5X, Connectorized 4.9-6.4GHZ 2X2 PTMP Access Point","A5X, Connectorized 4.9-6.4GHZ 2X2 PTMP Access Point","4,990.00"
MM-B5,"5Ghz Up to 1.5Gbps IP aggregate, MIMO OFDM 4x4:4, Integrated 25dBi Antenna, POE included","5Ghz Up to 1.5Gbps IP aggregate, MIMO OFDM 4x4:4, Integrated 25dBi Antenna, POE included","11,856.00"
MM-B5C,"5Ghz Up to 1.5Gbps IP aggregate, MIMO OFDM 4x4:4, Requires antenna, POE included","5Ghz Up to 1.5Gbps IP aggregate, MIMO OFDM 4x4:4, Requires antenna, POE included","6,533.00"
MM-B5 LITE PT1,"5Ghz 750Mbps Max Throughput, MIMO OFDM 2x2:2, 2 x Radios per box, with J-Mount and POE","5Ghz 750Mbps Max Throughput, MIMO OFDM 2x2:2, 2 x Radios per box, with J-Mount and POE","5,702.00"
MM-GIG POE56V,"Mimosa PoE 56V, POE Brick","Mimosa PoE 56V, POE Brick","1,069.00"
MM-POE WP,"Gigabit POE Injector, 56V passive PoE Wall Plug","Gigabit POE Injector, 56V passive PoE Wall Plug",190
MM-B11,"10-11.7 Ghz Up to 1.5Gbps IP aggregate, MIMO OFDM 4x4:4, Requires antenna, POE included","10-11.7 Ghz Up to 1.5Gbps IP aggregate, MIMO OFDM 4x4:4, Requires antenna, POE included","30,888.00"
MM-A5 14,Mimosa 14dBi 4x4 MU-MIMO 360 Quad-panel,Mimosa 14dBi 4x4 MU-MIMO 360 Quad-panel,"15,800.00"
MM-A5C,Mimosa A5c Multipoint Connectorized Access Point,Mimosa A5c Multipoint Connectorized Access Point,"11,619.00"
MM-C5,Mimosa Integrated Client Device 5GHz 20dBi,Mimosa Integrated Client Device 5GHz 20dBi,"1,877.00"
MM-C5 BUNDLE,"C5/G2/Fleximount Bundle - C5 - 5 GHz, 20dBi 2x2 802.11ac PTMP client radio with intergrated  antenna;  Includes a Fleximount and G2 - comes with both Type A (NA) and Type C (EU) plugs.","C5/G2/Fleximount Bundle - C5 - 5 GHz, 20dBi 2x2 802.11ac PTMP client radio with intergrated  antenna;  Includes a Fleximount and G2 - comes with both Type A (NA) and Type C (EU) plugs.","2,661.00"
MM-C5X,"4.9-6.4 GHz, 8 dBi Modular Radio, for PTMP or PTP, uses N5-X Antennas","4.9-6.4 GHz, 8 dBi Modular Radio, for PTMP or PTP, uses N5-X Antennas","1,616.00"
MM-C5C,"Mimosa Connectorised Client Device ,5GHz, RRP-SMA (x2), 20dBm","Mimosa Connectorised Client Device ,5GHz, RRP-SMA (x2), 20dBm","1,925.00"
MIM-G2,"Mimosa G2 Gateway, Cloud Managed, WIFI","Mimosa G2 Gateway, Cloud Managed, WIFI",665
MM-JMOUNT,"Twist on the J-Mount, with extra axis of rotation to align the C5, to keep it level to the horizon. Single mount","Twist on the J-Mount, with extra axis of rotation to align the C5, to keep it level to the horizon. Single mount",237
MM-FLEXIMOUNT,Compact flexible pole and surface mount. Allowing attachment to any,Compact flexible pole and surface mount. Allowing attachment to any,166
MM-FLEXIMOUNT XL,"Compact flexible pole and surface mount. Allowing attachment to any, XL","Compact flexible pole and surface mount. Allowing attachment to any, XL",202
MM-B24,"24 GHz, 33 dBi, 1.5Gbps capable PTP backhaul with GPS Sync, intergrated antenna, includes PoE Injector 56V, smart mounting bracket and pipe clamps (2)","24 GHz, 33 dBi, 1.5Gbps capable PTP backhaul with GPS Sync, intergrated antenna, includes PoE Injector 56V, smart mounting bracket and pipe clamps (2)","15,064.00"
MM-NID,"Network Interface Device, technician's outdoor Ethernet access, ESD protection and grounding point. Recommended for ALL installations.","Network Interface Device, technician's outdoor Ethernet access, ESD protection and grounding point. Recommended for ALL installations.",237
MM-N5 360,"4.9-6.4 GHz, 4x4 360 degree beamforming antenna for A5c, includes  LMR 240 Type N to Type N cables (4) and pipe clamps (2)","4.9-6.4 GHz, 4x4 360 degree beamforming antenna for A5c, includes  LMR 240 Type N to Type N cables (4) and pipe clamps (2)","4,966.00"
MM-N5 45X2,"4.9-6.4 GHz 45 Deg Sector Antenna, 19 dBi gain, 2 Port , includes LMR 240 Type N to Type N cables (2) and mounting brackets (2)","4.9-6.4 GHz 45 Deg Sector Antenna, 19 dBi gain, 2 Port , includes LMR 240 Type N to Type N cables (2) and mounting brackets (2)","2,977.00"
MM-N5 45X4,"4.9-6.4 GHz 45 Deg Sector Antenna, 22 dBi Beamforming gain, 4 Port , includes LMR 240 Type N to Type N cables (4) and mounting brackets (2)","4.9-6.4 GHz 45 Deg Sector Antenna, 22 dBi Beamforming gain, 4 Port , includes LMR 240 Type N to Type N cables (4) and mounting brackets (2)","5,821.00"
MM-N5X12,"4.9-6.4 GHz Modular Twist-on Antenna, 70mm Horn for C5x only, 12 dBi gain","4.9-6.4 GHz Modular Twist-on Antenna, 70mm Horn for C5x only, 12 dBi gain",285
MM-N5X16,"4.9-6.4 GHz Modular Twist-on Antenna, 150mm Horn for C5x only, 16 dBi gain","4.9-6.4 GHz Modular Twist-on Antenna, 150mm Horn for C5x only, 16 dBi gain",475
MM-N5X20,"4.9-6.4 GHz Modular Twist-on Antenna, 250 mm Dish for C5x only, 20 dBi gain","4.9-6.4 GHz Modular Twist-on Antenna, 250 mm Dish for C5x only, 20 dBi gain",665
MM-N5X25,"4.9-6.4 GHz ModularTwist-on Antenna 400mm Dish for C5x only, 25 dBi gain","4.9-6.4 GHz ModularTwist-on Antenna 400mm Dish for C5x only, 25 dBi gain",903
RT-8663 BASE,"I Serve 8663 Base Unit, built in G729 Mod","I Serve 8663 Base Unit, built in G729 Mod","3,183.00"
RT-8630 HAN,I Serve 8630 entry mid level handset,I Serve 8630 entry mid level handset,"1,646.00"
RT-8632 HAN,I Serve 8632 Handset & Charger B/TiP65,I Serve 8632 Handset & Charger B/TiP65,"2,173.00"
RT-8630 4024,"RTX 4024 Repeater, Up to 3 repeaters per base station, Max 3 repeaters in daisy chain","RTX 4024 Repeater, Up to 3 repeaters per base station, Max 3 repeaters in daisy chain","1,866.00"
SN-D120,Snom D120,"2 Line Desktop Phone, POE, PSU not included",594
SN-D305,Snom D305,"4 Line Desktop Phone, POE, PSU not included","1,016.00"
SN-D315,Snom D315,"4 Line Destop Phone, POE, Gigabit Port, USB, PSU not included","1,408.93"
